MovieName,MovieYear,Top Four Movies
78. Das Boot,Wolfgang Petersen,"Das Boot,Enemy Mine,The Neverending Story,Outbreak"
79. Braveheart,Mel Gibson,"Braveheart,Lethal Weapon 3,Conspiracy Theory,Ransom"
75. Coco,Lee Unkrich,"Coco,Toy Story 2,Toy Story 3,Monsters, Inc."
80. Avengers: Endgame,Anthony Russo,"Everything Everywhere All at Once,Avengers: Endgame,Captain America: The Winter Soldier,Avengers: Infinity War"
73. American Beauty,Sam Mendes,"1917,Road to Perdition,Skyfall,Revolutionary Road"
77. Toy Story,John Lasseter,"Toy Story 2,A Bug's Life,Cars,Toy Story"
72. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,"2001: A Space Odyssey,Barry Lyndon,A Clockwork Orange,Full Metal Jacket"
76. Amadeus,Milos Forman,"One Flew Over the Cuckoo's Nest,Amadeus,The People vs. Larry Flynt,Hair"
74. Oldeuboi,Park Chan-wook,"Ah-ga-ssi,Oldeuboi,Decision to Leave,Bakjwi"
71. The Dark Knight Rises,Christopher Nolan,"Tenet,Interstellar,Inception,The Prestige"
70. Inglourious Basterds,Quentin Tarantino,"Reservoir Dogs,Pulp Fiction,Once Upon a Time... In Hollywood,From Dusk Till Dawn"
68. The Great Dictator,Charles Chaplin,"The Great Dictator,Modern Times,Limelight,City Lights"
69. Alien 2,James Cameron,"Avatar: The Way of Water,Avatar,Alien 2,Titanic"
67. The Shining,Stanley Kubrick,"2001: A Space Odyssey,Barry Lyndon,A Clockwork Orange,Full Metal Jacket"
66. Witness for the Prosecution,Billy Wilder,"The Apartment,Some Like It Hot,Sabrina,Sunset Blvd."
65. Spider-Man: Into the Spider-Verse,Bob Persichetti,"Spider-Man: Into the Spider-Verse,Spider-man: Across the Spider-verse,Le Petit Prince,Puss in Boots: The Last Wish"
63. Paths of Glory,Stanley Kubrick,"2001: A Space Odyssey,Barry Lyndon,A Clockwork Orange,Full Metal Jacket"
64. Avengers: Infinity War,Anthony Russo,"Everything Everywhere All at Once,Avengers: Endgame,Captain America: The Winter Soldier,Avengers: Infinity War"
59. WALL·E,Andrew Stanton,"WALL·E,Finding Nemo,Finding Dory,A Bug's Life"
62. Sunset Blvd.,Billy Wilder,"The Apartment,Some Like It Hot,Sabrina,Sunset Blvd."
61. Das Leben der Anderen,Florian Henckel von Donnersmarck,"Das Leben der Anderen,Never Look Away,The Tourist,Dobermann"
60. Raiders of the Lost Ark,Steven Spielberg,"Schindler's List,E.T. The Extra-Terrestrial,Saving Private Ryan,Raiders of the Lost Ark"
